code,name,count
scmac,Closed stores Arch. & MSS,283756
sicon,Closed stores Iconographic,79856
sgmed,Closed stores Med.,57021
sgmon,Closed stores mons.,32119
sepbb,Closed stores EPB / B,31041
sgser,Closed stores journals,26579
sghi2,Closed stores Hist. 2,20131
sepba,Closed stores EPB / A,15711
sgeph,Closed stores ephemera,15368
setra,Closed stores EPB Tracts,14293
sgpan,Closed stores pams.,13038
sganr,Closed stores ann. rep.,10418
sgpam,Closed stores Med. pam.,10195
sgpvo,Closed stores Pam. vol.,7996
sgphi,Closed stores Hist. pam,7714
mfvac,Closed stores Moving image and sound collections,7570
sgpbi,Closed stores Biog. pam,5566
sgshe,Closed stores Shepherd,5321
mfohc,Closed stores Moving image and sound collections,5065
semst,Closed stores EPB MSL tracts,4991
sepbp,Closed stores EPB / P,4951
sepbc,Closed stores EPB / C,4669
sepbd,Closed stores EPB / D,4133
issta,Closed stores Medicine & Society,3036
sesub,Closed stores EPB Suppl. B,2507
soref,Closed stores Orient. ref.,2383
seram,Closed stores EPB RAMC,2145
sobab,Closed stores P.B. Arabic,2085
sganx,Closed stores ann. rep. O/S,1973
sgptb,Closed stores bound patents,1791
sgmex,Closed stores Med. O/S,1616
sepam,Closed stores EPB American,1523
sobsa,Closed stores P.B. Sanskrit,1380
sehun,Closed stores EPB Hunt.,1341
somsa,Closed stores Sanskrit mss alpha,1334
sg#i2,Closed stores Hist. 2 (RMR),1317
sg#e2,Closed stores mons. (RMR),1013
sobch,Closed stores P.B. Chinese,933
sorex,Closed stores Orient. ref. O/S,904
sepbf,Closed stores EPB G. O/S,854
sgmg2,Closed stores Garr. Mort 2,843
sghx2,Closed stores Hist. O/S 2,828
sgmox,Closed stores mons. O/S,818
seser,Closed stores EPB journals,814
sompe,Closed stores Persian mss,771
sgmc2,Closed stores Conferences 2,764
sslob,Closed stores Student Coll,720
sg#ed,Closed stores Med. (RMR),713
sgzin,Closed stores zines,710
sgsex,Closed stores journals O/S,700
sgptu,Closed stores unbound patents,693
sepin,Closed stores EPB Incunabula,690
somhi,Closed stores Hindi mss,680
wsdis,Closed stores Student diss,648
sepbk,Closed stores EPB,607
somsb,Closed stores Sanskrit mss beta,582
somsc,Closed stores Sanskrit mss gamma,568
sespc,Closed stores EPB Pamphlets O/S,526
sotop,Closed stores Orient. Topog.,489
ofinf,Closed stores Professional Collection,470
somsi,Closed stores Sinhalese mss,469
somab,Closed stores Arabic mss,469
sgpxn,Closed stores pams. O/S,437
seras,Closed stores EPB RAMC journals,420
sesuc,Closed stores EPB Suppl. C,417
sgwel,Closed stores Wellcome Coll.,393
sgpax,Closed stores Med. pam O/S,389
sgsxn,Closed stores journals O/S,363
sobja,Closed stores P.B. Japanese,334
szser,Closed stores prof. journals,317
sobhe,Closed stores P.B. Hebrew,313
sopam,Closed stores Oriental pam.,300
semfm,Closed stores EPB m/film,272
sepen,Closed stores EPB Encycl,271
somch,Closed stores Chinese coll.,252
sobtu,Closed stores P.B. Turkish,251
sepcr,Closed stores EPB Crawford,235
sgenc,Closed stores Hist. Encylop.,233
sg#ex,Closed stores Med. O/S (RMR),231
sg#a2,Closed stores pams. (RMR),230
swms1,Closed stores WMS 1,217
serax,Closed stores EPB RAMC O/S,209
sobur,Closed stores P.B. Urdu,196
sobhi,Closed stores P.B. Hindi,173
sobtb,Closed stores P.B. Tibetan,170
sghf2,Closed stores Hist. G. O/S 2,137
sgams,Closed stores Amer. journals,125
sompa,Closed stores Pali mss,121
sghif,Closed stores Hist. G. O/S,119
somtb,Closed stores Tibetan mss,117
sglew,Closed stores Lewis,114
sepah,Closed stores EPB Austro-Hung.,114
solsa,Closed stores Sanskrit litho,112
sgamc,Closed stores Americana,105
sg#ef,Closed stores Med. G. O/S (RMR),104
sesud,Closed stores EPB Suppl. D,104
sgme1,Closed stores Med. 1,103
sslor,Closed stores Student Reprint,100
somse,Closed stores Sanskrit mss epsi,97
somhe,Closed stores Hebrew mss,94
sehup,Closed stores EPB Hunt. pam,94
semsl,Closed stores EPB MSL,93
sg#am,Closed stores Med. pam (RMR),92
sepal,Closed stores EBP Almanac,91
sobpe,Closed stores P.B. Persian,82
sehux,Closed stores EPB Hunt. O/S,80
stax,Closed stores,78
somfm,Closed stores Oriental m/film,76
sepbr,Closed stores EPB Planchests,74
searb,Closed stores Artists' Books,74
sgsee,Closed stores Hist. journals,73
sgcra,Closed stores Thai mss,60
ofws1,Closed stores Iconographic Office,53
sgphx,Closed stores Hist. pam O/S,49
sg#e1,Closed stores mons. O/S (RMR),48
scmwf,Closed stores A&MSS Well.Found.,47
sobsy,Closed stores P.B. Syriac,45
sobta,Closed stores P.B. Tamil,43
somsd,Closed stores Sanskrit mss delta,42
szmon,Closed stores prof. monographs,42
seper,Closed stores EPB Erotica,42
somsr,Closed stores Turkish Ottoman mss,38
sepcp,Closed stores EPB Cattle Plague,37
sgame,Closed stores Amer. Ethnog.,36
soser,Closed stores Oriental journals,35
