code,name,count
iiif-presentation,IIIF Presentation API,274657
iiif-image,IIIF Image API,86189
wgpvm,History of Medicine,75842
bwith,bound in above,33695
wgmem,Medical Collection,30572
wgser,Journals,22613
cwith,Contained in above,7873
wslob,Student Collection,4891
wqrfc,Quick Ref. Collection,4165
wghxg,Folios,3383
scons,Conservation,1296
wsref,Student Coll. (ref only),930
hgser,Offsite,891
hgslr,Offsite (LSHTM journals),830
wghip,Rare Materials Room,703
sesus,Early Printed Books /Supp,163
wslom,Student Coll (Med Lit),155
exres,On Exhibition,154
wqrfp,Rare Materials Room Reference,131
sc#ac,Unrequestable Arch. & MSS,107
hicon,OBSOLETE Offsite Iconographic,50
wslox,Student Coll. (oversize),46
homc,History of Medicine Collection,31
wslor,Student Coll.  reprints,24
zzzzz,-,22
medc,Medical Collection,21
isope,Medicine & Society Collection,11
digit,Digitised Collections,10
wghib,Biographies,4
whml,Open shelves,3
icno,Iconographic Collection,3
wqrfe,Enquiry Line,2
sgmfc,By appointment,2
scmwc,Archives & Mss Well.Coll.,2
sgmip,sgmip,1
wghig,Gallery,1
temp1,At Digitisation,1
gblip,215 Information Point,1
