bib_statuses,location,status,opacmsg,rules_for_requesting,example_bib,example_item,count
,ClosedStores,Available,Online request,,b10000021,i10000021,531037
,OpenShelves,Available,Open shelves,Item is on open shelves.  Check Location and Shelfmark for location details.,b10000094,i10000112,141657
,,As above,-,Please request top item.,b10003095,i10003630,31923
,ClosedStores,Available,Manual request,,b10077959,i15070852,27183
Closed,ClosedStores,Closed,Unavailable,This item is closed.,b16234248,i15451185,9657
,ClosedStores,Unavailable,@ digitisation,This item is unavailable.,b10006990,i10007763,6935
Restricted,ClosedStores,Restricted,Online request,,b16232811,i15449610,5076
,,As above,,Please request top item.,b10329110,i18947748,5067
,,As above,Online request,Please request top item.,b10030372,i10036428,4612
ByAppointment,ClosedStores,Permission required,By appointment,[empty message],b17222473,i16596250,3479
,ClosedStores,Available,By appointment,,b10335900,i10396068,3359
,OpenShelves,Missing,Open shelves,This item is missing.,b10002200,i10002601,2272
Open,ClosedStores,Available,Online request,,b16236907,i15453856,2115
,ClosedStores,Permission required,By appointment,[empty message],b10331104,i10390856,2009
,ClosedStores,Available,Staff use only,,b11964819,i16640652,1771
,ClosedStores,Missing,Online request,This item is missing.,b10000252,i1000032x,1720
,ClosedStores,Available,Manual request,Please complete a manual request slip.  This item cannot be requested online.,b10109092,i10128062,896
,ClosedStores,Available,Ask at desk,Item is on open shelves.  Check Location and Shelfmark for location details.,b12692645,i12675295,821
,ClosedStores,Available,Ask at desk,,b13108815,i13333926,672
,ClosedStores,Missing,-,This item is missing.,b10012576,i10014093,453
PermissionRequired,ClosedStores,Permission required,Donor permission,[empty message],b18477859,i17321682,346
,ClosedStores,Missing,Manual request,This item is missing.,b10550732,i10640472,322
,OpenShelves,Unavailable,@ digitisation,This item is unavailable.,b10010208,i10011341,286
,OpenShelves,Available,Online request,Item is on open shelves.  Check Location and Shelfmark for location details.,b10084873,i10100842,277
,,Available,Online request,,b10120440,i10140323,252
,ClosedStores,Available,Online request,Item not available due to provisions of Data Protection Act. Return to Archives catalogue to see when this file will be opened.,b18189489,i17124372,218
,ClosedStores,Unavailable,Unavailable,This item is unavailable.,b11970522,i12082880,185
,ClosedStores,Available,Open shelves,,b10017409,i10020366,182
,,Available,,,b15842034,i15078875,179
Restricted,ClosedStores,Available,Online request,,b16237699,i15454642,170
,ClosedStores,On holdshelf,Online request,Item is in use by another reader. Please ask at Enquiry Desk.,b10362678,i10424325,158
Closed,,Closed,Unavailable,This item is closed.,b18164705,i17099596,143
,ClosedStores,Dept material,By appointment,,b15562876,i14813178,137
Closed,ClosedStores,Closed,--,This item is closed.,b18267282,i17174454,122
ByAppointment,ClosedStores,Available,Online request,,b18387378,i17254152,107
,ClosedStores,Missing,Unavailable,This item is missing.,b10917597,i11064742,96
TemporarilyUnavailable,ClosedStores,Unavailable,Unavailable,This item is unavailable.,b1830820x,i17197880,89
,ClosedStores,Closed,By appointment,This item is closed.,b18591279,i17407813,71
Restricted,ClosedStores,Restricted,Online request,Item not available due to provisions of Data Protection Act. Return to Archives catalogue to see when this file will be opened.,b18500663,i17338566,54
,ClosedStores,Available,Unavailable,,b11125068,i11301740,48
,OpenShelves,Available,Open shelves,,b15255578,i14575504,45
Open,ClosedStores,Available,-,,b18410716,i17272294,45
Open,ClosedStores,Restricted,Online request,,b16235083,i15452037,43
,OpenShelves,In cataloguing,Ask at desk,Item is on open shelves.  Check Location and Shelfmark for location details.,b22675243,i19408286,41
