CanonicalId,OntologyType,SourceId,SourceSystem
gbum7y2b,Item,1890040,sierra-system-number
be99823c,Image,b28065037/FILE_0175_OBJECTS,mets-image
thhp9d2t,Image,b22372210/FILE_0045_OBJECTS,mets-image
egfcpdaq,Image,b30520745/FILE_0290_OBJECTS,mets-image
rxcva8ja,Image,b28747756/FILE_0325_OBJECTS,mets-image
a89ykwqx,Work,b29525354,sierra-system-number
fc2phq32,Image,b2102330x/FILE_0204_OBJECTS,mets-image
ecagdrgu,Image,b20410402/FILE_0498_OBJECTS,mets-image
mdnf5v98,Image,b28131496/FILE_0228_OBJECTS,mets-image
z3xhhqwe,Work,b2723053,sierra-system-number
n8se2cyu,Image,b29322509/FILE_0230_OBJECTS,mets-image
fgts3zq3,Image,b19502448/FILE_0153_OBJECTS,mets-image
m243zw3m,Image,b22384959/FILE_0089_OBJECTS,mets-image
ug7a9mhy,Work,b21456987,mets
dt9y2jwq,Image,b21052189/FILE_0061_OBJECTS,mets-image
d8g2e5gb,Image,b33284702/FILE_0011_OBJECTS,mets-image
hjzhrz7k,Image,b21707340/FILE_0031_OBJECTS,mets-image
bruf3rzd,Image,b28519656/FILE_0194_OBJECTS,mets-image
x5usense,Work,b32427670,sierra-system-number
xq5rndmu,Item,i12045792,sierra-system-number
krg5zggb,Image,b21079936/FILE_0191_OBJECTS,mets-image
yf3pcjbt,Image,b31361845/FILE_0564_OBJECTS,mets-image
ns4s2drd,Image,b22304551/FILE_0035_OBJECTS,mets-image
ftajrp27,Image,b2193227x/FILE_0198_OBJECTS,mets-image
mqswgds2,Image,b31697781/FILE_0199_OBJECTS,mets-image
by6kp2ba,Work,b1548462,sierra-system-number
h7szra2t,Work,1085317,sierra-system-number
a9dg6p5c,Image,b28520622/FILE_0227_OBJECTS,mets-image
rcmz4kr8,Work,b21491203,sierra-system-number
jpe35z4j,Image,b31481759/FILE_0028_OBJECTS,mets-image
ab2yzass,Image,b18347514/FILE_0067_OBJECTS,mets-image
x5sxw9qh,Image,b24963409/FILE_0281_OBJECTS,mets-image
gkdsgmag,Image,b21640774/FILE_0137_OBJECTS,mets-image
hhktyyrd,Work,b1992336,sierra-system-number
adca548b,Image,b21003567/FILE_0190_OBJECTS,mets-image
xhmzpb3j,Image,b30614454/FILE_0092_OBJECTS,mets-image
azr2ptv7,Image,b21463888/FILE_0101_OBJECTS,mets-image
mvtd3hut,Image,b28519218/FILE_0095_OBJECTS,mets-image
h2gw9ay5,Item,i12321096,sierra-system-number
