bib_terms,bib_statuses,location,opacmsg,status,rules_for_requesting,example_bib,example_item,count
,,ClosedStores,Online request,Available,,b10000021,i10000021,530998
,,OpenShelves,Open shelves,Available,Item is on open shelves.  Check Location and Shelfmark for location details.,b10000094,i10000112,141653
,,,-,As above,Please request top item.,b10003095,i10003630,31923
,,ClosedStores,Manual request,Available,,b10077959,i15070852,27183
…,Closed,ClosedStores,Unavailable,Closed,This item is closed.,b16234248,i15451185,9599
,,ClosedStores,@ digitisation,Unavailable,This item is unavailable.,b10006990,i10007763,6935
…,Restricted,ClosedStores,Online request,Restricted,,b16232811,i15449610,5075
,,,,As above,Please request top item.,b10329110,i18947748,5067
,,,Online request,As above,Please request top item.,b10030372,i10036428,4612
…,ByAppointment,ClosedStores,By appointment,Permission required,[empty message],b10548555,i10637758,3410
,,ClosedStores,By appointment,Available,,b10335900,i10396068,3346
,,OpenShelves,Open shelves,Missing,This item is missing.,b10002200,i10002601,2272
,,ClosedStores,By appointment,Permission required,[empty message],b10331104,i10390856,1989
,,ClosedStores,Staff use only,Available,,b11964819,i16640652,1766
,,ClosedStores,Online request,Missing,This item is missing.,b10000252,i1000032x,1720
…,Restricted / Open,ClosedStores,Online request,Available,,b18483136,i17325717,1054
,,ClosedStores,Manual request,Available,Please complete a manual request slip.  This item cannot be requested online.,b10109092,i10128062,896
…,ByAppointment / Open,ClosedStores,Online request,Available,,b18344641,i17222266,856
,,ClosedStores,Ask at desk,Available,Item is on open shelves.  Check Location and Shelfmark for location details.,b12692645,i12675295,821
,,ClosedStores,Ask at desk,Available,,b13108815,i13333926,672
,,ClosedStores,-,Missing,This item is missing.,b10012576,i10014093,453
,,ClosedStores,Manual request,Missing,This item is missing.,b10550732,i10640472,322
…,ByAppointment,ClosedStores,Donor permission,Permission required,[empty message],b18477859,i17321682,293
,,OpenShelves,@ digitisation,Unavailable,This item is unavailable.,b10010208,i10011341,286
